account_id,name,balance
ACC_000066,User_66,45677.15
ACC_000067,User_67,37551.99
ACC_000068,User_68,16789.11
ACC_000069,User_69,3743.87
ACC_000070,User_70,48537.21
ACC_000071,User_71,16927.41
ACC_000072,User_72,47190.91
ACC_000073,User_73,2739.17
ACC_000074,User_74,42832.95
ACC_000075,User_75,12021.76
ACC_000076,User_76,6560.62
ACC_000077,User_77,37821.12
ACC_000078,User_78,28864.96
ACC_000079,User_79,18560.67
ACC_000080,User_80,23016.05
ACC_000081,User_81,48466.7
ACC_000082,User_82,29712.32
ACC_000083,User_83,46683.1
ACC_000084,User_84,36003.05
ACC_000085,User_85,2656.03
ACC_000086,User_86,30681.39
ACC_000087,User_87,15641.32
ACC_000088,User_88,2832.37
ACC_000089,User_89,25248.31
ACC_000090,User_90,10429.81
ACC_000091,User_91,21353.28
ACC_000092,User_92,23101.29
ACC_000093,User_93,26707.33
ACC_000094,User_94,9424.48
ACC_000095,User_95,33765.38
ACC_000096,User_96,14907.35
ACC_000097,User_97,33103.71
ACC_000098,User_98,21613.29
ACC_000099,User_99,36842.9
ACC_000100,User_100,33266.52
ACC_000101,User_101,41596.59
ACC_000102,User_102,16954.1
ACC_000103,User_103,12652.6
ACC_000104,User_104,37768.32
ACC_000105,User_105,20781.21
ACC_000106,User_106,20443.17
ACC_000107,User_107,5724.09
ACC_000108,User_108,29167.25
ACC_000109,User_109,28298.01
ACC_000110,User_110,17605.3
ACC_000111,User_111,5133.6
ACC_000112,User_112,20690.36
ACC_000113,User_113,3633.74
ACC_000114,User_114,11530.84
ACC_000115,User_115,38249.13
ACC_000116,User_116,12169.29
ACC_000117,User_117,23425.35
ACC_000118,User_118,21851.09
ACC_000119,User_119,32860.18
ACC_000120,User_120,22570.1
ACC_000121,User_121,42979.4
ACC_000122,User_122,21509.85
ACC_000123,User_123,4096.52
ACC_000124,User_124,32761.01
ACC_000125,User_125,4899.04
ACC_000126,User_126,38752.98
ACC_000127,User_127,14911.85
ACC_000128,User_128,20864.2
ACC_000129,User_129,7784.39
ACC_000130,User_130,41633.51
ACC_000131,User_131,32798.66
ACC_000132,User_132,4195.26
ACC_000133,User_133,35878.95
ACC_000134,User_134,46111.56
ACC_000135,User_135,33038.04
ACC_000136,User_136,21320.33
ACC_000137,User_137,31122.9
ACC_000138,User_138,12413.96
ACC_000139,User_139,1485.86
ACC_000140,User_140,36733.61
ACC_000141,User_141,38675.23
ACC_000142,User_142,4976.24
ACC_000143,User_143,2580.87
ACC_000144,User_144,27212.03
ACC_000145,User_145,31153.3
ACC_000146,User_146,14388.66
ACC_000147,User_147,40160.8
ACC_000148,User_148,19581.24
ACC_000149,User_149,26198.07
ACC_000150,User_150,42660.81
ACC_000151,User_151,17579.93
ACC_000152,User_152,46195.84
ACC_000153,User_153,45034.54
ACC_000154,User_154,10914.85
ACC_000155,User_155,6720.55
ACC_000156,User_156,7407.01
ACC_000157,User_157,23608.5
ACC_000158,User_158,27734.47
ACC_000159,User_159,36247.49
ACC_000160,User_160,34911.45
ACC_000161,User_161,33131.98
ACC_000162,User_162,21056.17
ACC_000163,User_163,4133.37
ACC_000164,User_164,36634.92
ACC_000165,User_165,29198.94
ACC_000166,User_166,47075.19
ACC_000167,User_167,23538.31
ACC_000168,User_168,11384.32
ACC_000169,User_169,47781.06
ACC_000170,User_170,3026.67
ACC_000171,User_171,21960.04
ACC_000172,User_172,31373.75
ACC_000173,User_173,6168.28
ACC_000174,User_174,33976.24
ACC_000175,User_175,25936.22
ACC_000176,User_176,33321.25
ACC_000177,User_177,27393.29
ACC_000178,User_178,40965.19
ACC_000179,User_179,17244.24
ACC_000180,User_180,45627.38
ACC_000181,User_181,5440.58
ACC_000182,User_182,17522.54
ACC_000183,User_183,27319.22
ACC_000184,User_184,10819.4
ACC_000185,User_185,22006.13
ACC_000186,User_186,14985.51
ACC_000187,User_187,12032.83
ACC_000188,User_188,6238.77
ACC_000189,User_189,9158.13
ACC_000190,User_190,18469.6
ACC_000191,User_191,9934.07
ACC_000192,User_192,31744.78
ACC_000193,User_193,14740.29
ACC_000194,User_194,5239.75
ACC_000195,User_195,35296.78
ACC_000196,User_196,30573.96
ACC_000197,User_197,14660.93
ACC_000198,User_198,40797.23
ACC_000199,User_199,3542.11
ACC_000200,User_200,42504.26
ACC_000201,User_201,12548.48
ACC_000202,User_202,13376.4
ACC_000203,User_203,47917.71
ACC_000204,User_204,10972.97
ACC_000205,User_205,25395.55
ACC_000206,User_206,12850.63
ACC_000207,User_207,47402.26
ACC_000208,User_208,17265.88
ACC_000209,User_209,18419.49
ACC_000210,User_210,35120.58
ACC_000211,User_211,18414.96
ACC_000212,User_212,14917.82
ACC_000213,User_213,13057.79
ACC_000214,User_214,40140.64
ACC_000215,User_215,18548.26
ACC_000216,User_216,40761.45
ACC_000217,User_217,11217.21
ACC_000218,User_218,28004.86
ACC_000219,User_219,46836.19
ACC_000220,User_220,28456.32
ACC_000221,User_221,34246.1
ACC_000222,User_222,8496.47
ACC_000223,User_223,18177.63
ACC_000224,User_224,17780.24
ACC_000225,User_225,36722.83
ACC_000226,User_226,7204.92
ACC_000227,User_227,40727.93
ACC_000228,User_228,8868.03
ACC_000229,User_229,49576.1
ACC_000230,User_230,32777.31
ACC_000231,User_231,38047.72
ACC_000232,User_232,12143.09
ACC_000233,User_233,35432.93
ACC_000234,User_234,35669.2
ACC_000235,User_235,30954.07
ACC_000236,User_236,23030.03
ACC_000237,User_237,21414.71
ACC_000238,User_238,8647.93
ACC_000239,User_239,40008.6
ACC_000240,User_240,22536.93
ACC_000241,User_241,11458.73
ACC_000242,User_242,46933.45
ACC_000243,User_243,30850.47
ACC_000244,User_244,20451.56
ACC_000245,User_245,21805.99
ACC_000246,User_246,42714.39
ACC_000247,User_247,39128.24
ACC_000248,User_248,36523.54
ACC_000249,User_249,17663.06
ACC_000250,User_250,48191.45
ACC_000251,User_251,32137.27
ACC_000252,User_252,35806.48
ACC_000253,User_253,34191.05
ACC_000254,User_254,1159.38
ACC_000255,User_255,35775.76
ACC_000256,User_256,45440.26
ACC_000257,User_257,17506.94
ACC_000258,User_258,37429.02
ACC_000259,User_259,11656.12
ACC_000260,User_260,4870.44
ACC_000261,User_261,26959.31
ACC_000262,User_262,24487.46
ACC_000263,User_263,40494.69
ACC_000264,User_264,42022.58
ACC_000265,User_265,27975.14
ACC_000266,User_266,22891.83
ACC_000267,User_267,15512.21
ACC_000268,User_268,5274.65
ACC_000269,User_269,44474.23
ACC_000270,User_270,39073.22
ACC_000271,User_271,4253.98
ACC_000272,User_272,3045.82
ACC_000273,User_273,21364.63
ACC_000274,User_274,12787.24
ACC_000275,User_275,25212.35
ACC_000276,User_276,36318.34
ACC_000277,User_277,46321.55
ACC_000278,User_278,48203.67
ACC_000279,User_279,1450.24
ACC_000280,User_280,11174.94
ACC_000281,User_281,13392.77
ACC_000282,User_282,5476.47
ACC_000283,User_283,31421.82
ACC_000284,User_284,23706.2
ACC_000285,User_285,4673.26
ACC_000286,User_286,44551.79
ACC_000287,User_287,24224.8
ACC_000288,User_288,4224.54
ACC_000289,User_289,42754.07
ACC_000290,User_290,16634.65
ACC_000291,User_291,24359.03
ACC_000292,User_292,48448.73
ACC_000293,User_293,20656.9
ACC_000294,User_294,44206.07
ACC_000295,User_295,4627.13
ACC_000296,User_296,22147.11
ACC_000297,User_297,25648.77
ACC_000298,User_298,8013.61
ACC_000299,User_299,47879.45
ACC_000300,User_300,10549.02
ACC_000301,User_301,2754.36
ACC_000302,User_302,13975.8
ACC_000303,User_303,21822.13
ACC_000304,User_304,42064.85
ACC_000305,User_305,32573.82
ACC_000306,User_306,22363.4
ACC_000307,User_307,1453.12
ACC_000308,User_308,20399.38
ACC_000309,User_309,4492.35
ACC_000310,User_310,23684.04
ACC_000311,User_311,6436.54
ACC_000312,User_312,31879.25
ACC_000313,User_313,22737.3
ACC_000314,User_314,33949.8
ACC_000315,User_315,26480.69
ACC_000316,User_316,5140.79
ACC_000317,User_317,22531.85
ACC_000318,User_318,9106.44
ACC_000319,User_319,20175.86
ACC_000320,User_320,9989.03
ACC_000321,User_321,10008.15
ACC_000322,User_322,34911.63
ACC_000323,User_323,38320.66
ACC_000324,User_324,28190.58
ACC_000325,User_325,40836.8
ACC_000326,User_326,36127.92
ACC_000327,User_327,8392.59
ACC_000328,User_328,43303.16
ACC_000329,User_329,10936.74
ACC_000330,User_330,9400.18
ACC_000331,User_331,27983.04
ACC_000332,User_332,28891.14
ACC_000333,User_333,12817.41
ACC_000334,User_334,35361.35
ACC_000335,User_335,17495.89
ACC_000336,User_336,15104.89
ACC_000337,User_337,9816.03
ACC_000338,User_338,29003.81
ACC_000339,User_339,19619.31
ACC_000340,User_340,8767.82
ACC_000341,User_341,33381.46
ACC_000342,User_342,6148.42
ACC_000343,User_343,15736.65
ACC_000344,User_344,27039.9
ACC_000345,User_345,6258.79
ACC_000346,User_346,6529.37
ACC_000347,User_347,4662.43
ACC_000348,User_348,4665.78
ACC_000349,User_349,24746.4
ACC_000350,User_350,13591.82
ACC_000351,User_351,40004.79
ACC_000352,User_352,26035.41
ACC_000353,User_353,41174.9
ACC_000354,User_354,8480.41
ACC_000355,User_355,2605.63
ACC_000356,User_356,13746.12
ACC_000357,User_357,27103.32
ACC_000358,User_358,33675.28
ACC_000359,User_359,46982.11
ACC_000360,User_360,31464.67
ACC_000361,User_361,9429.75
ACC_000362,User_362,7164.49
ACC_000363,User_363,16280.56
ACC_000364,User_364,18054.2
ACC_000365,User_365,45584.44
ACC_000366,User_366,36525.72
ACC_000367,User_367,28391.12
ACC_000368,User_368,39006.55
ACC_000369,User_369,36762.43
ACC_000370,User_370,35814.17
ACC_000371,User_371,18890.55
ACC_000372,User_372,2600.72
ACC_000373,User_373,37032.04
ACC_000374,User_374,10577.09
ACC_000375,User_375,36491.93
ACC_000376,User_376,26057.53
ACC_000377,User_377,49745.69
ACC_000378,User_378,18954.0
ACC_000379,User_379,33273.17
ACC_000380,User_380,26110.4
ACC_000381,User_381,31039.76
ACC_000382,User_382,46624.49
ACC_000383,User_383,2410.3
ACC_000384,User_384,14473.56
ACC_000385,User_385,21521.64
ACC_000386,User_386,3880.68
ACC_000387,User_387,49515.08
ACC_000388,User_388,7291.21
ACC_000389,User_389,7336.1
ACC_000390,User_390,13755.0
ACC_000391,User_391,8280.17
ACC_000392,User_392,15040.74
ACC_000393,User_393,17384.42
ACC_000394,User_394,39508.89
ACC_000395,User_395,22954.45
ACC_000396,User_396,31808.0
ACC_000397,User_397,9715.61
ACC_000398,User_398,2274.3
ACC_000399,User_399,23703.23
ACC_000400,User_400,7375.47
ACC_000401,User_401,2547.37
ACC_000402,User_402,43686.04
ACC_000403,User_403,24397.34
ACC_000404,User_404,25029.16
ACC_000405,User_405,30412.05
ACC_000406,User_406,5632.79
ACC_000407,User_407,36295.23
ACC_000408,User_408,11901.77
ACC_000409,User_409,25266.38
ACC_000410,User_410,18358.94
ACC_000411,User_411,48864.1
ACC_000412,User_412,5003.84
ACC_000413,User_413,41823.32
ACC_000414,User_414,43246.81
ACC_000415,User_415,23366.18
ACC_000416,User_416,44882.82
ACC_000417,User_417,47941.14
ACC_000418,User_418,46395.62
ACC_000419,User_419,36139.74
ACC_000420,User_420,29010.31
ACC_000421,User_421,7534.98
ACC_000422,User_422,29243.64
ACC_000423,User_423,33248.71
ACC_000424,User_424,12322.05
ACC_000425,User_425,47431.16
ACC_000426,User_426,31865.37
ACC_000427,User_427,33878.26
ACC_000428,User_428,18327.71
ACC_000429,User_429,14722.82
ACC_000430,User_430,15110.78
ACC_000431,User_431,9338.2
ACC_000432,User_432,22805.25
ACC_000433,User_433,40649.06
ACC_000434,User_434,46559.82
ACC_000435,User_435,35581.5
ACC_000436,User_436,43836.38
ACC_000437,User_437,18964.22
ACC_000438,User_438,49597.57
ACC_000439,User_439,27303.84
ACC_000440,User_440,44547.59
ACC_000441,User_441,16940.21
ACC_000442,User_442,12035.93
ACC_000443,User_443,28472.69
ACC_000444,User_444,35647.62
ACC_000445,User_445,28233.6
ACC_000446,User_446,7569.24
ACC_000447,User_447,33923.32
ACC_000448,User_448,45427.71
ACC_000449,User_449,37229.9
ACC_000450,User_450,37329.5
ACC_000451,User_451,17565.55
ACC_000452,User_452,34842.82
ACC_000453,User_453,42866.27
ACC_000454,User_454,29838.88
ACC_000455,User_455,10283.8
ACC_000456,User_456,44383.27
ACC_000457,User_457,14593.94
ACC_000458,User_458,49281.07
ACC_000459,User_459,16861.36
ACC_000460,User_460,24170.23
ACC_000461,User_461,42563.79
ACC_000462,User_462,3090.45
ACC_000463,User_463,42571.55
ACC_000464,User_464,32182.37
ACC_000465,User_465,16167.71
ACC_000466,User_466,25152.17
ACC_000467,User_467,46484.32
ACC_000468,User_468,22991.98
ACC_000469,User_469,1444.73
ACC_000470,User_470,21897.29
ACC_000471,User_471,1398.91
ACC_000472,User_472,8274.88
ACC_000473,User_473,44065.79
ACC_000474,User_474,29982.82
ACC_000475,User_475,46295.08
ACC_000476,User_476,33022.72
ACC_000477,User_477,36790.53
ACC_000478,User_478,39827.97
ACC_000479,User_479,5120.48
ACC_000480,User_480,4224.74
ACC_000481,User_481,8793.44
ACC_000482,User_482,29917.46
ACC_000483,User_483,31927.45
ACC_000484,User_484,6352.22
ACC_000485,User_485,17190.16
ACC_000486,User_486,8489.37
ACC_000487,User_487,6181.58
ACC_000488,User_488,31056.78
ACC_000489,User_489,49602.16
ACC_000490,User_490,46768.03
ACC_000491,User_491,28417.59
ACC_000492,User_492,26547.05
ACC_000493,User_493,41103.94
ACC_000494,User_494,18930.36
ACC_000495,User_495,20124.73
ACC_000496,User_496,3210.71
ACC_000497,User_497,16473.31
ACC_000498,User_498,6499.4
ACC_000499,User_499,16749.33
ACC_000500,User_500,13233.58
ACC_000501,User_501,14726.96
ACC_000502,User_502,45931.98
ACC_000503,User_503,6038.82
ACC_000504,User_504,25488.44
ACC_000505,User_505,2048.28
ACC_000506,User_506,16788.17
ACC_000507,User_507,31531.21
ACC_000508,User_508,10363.33
ACC_000509,User_509,27250.91
ACC_000510,User_510,36142.02
ACC_000511,User_511,47659.35
ACC_000512,User_512,33791.17
ACC_000513,User_513,34667.5
ACC_000514,User_514,47662.61
ACC_000515,User_515,30356.37
ACC_000516,User_516,28912.02
ACC_000517,User_517,17921.04
ACC_000518,User_518,31267.31
ACC_000519,User_519,42581.6
ACC_000520,User_520,10766.39
ACC_000521,User_521,45077.75
ACC_000522,User_522,16698.91
ACC_000523,User_523,43651.44
ACC_000524,User_524,6084.19
ACC_000525,User_525,38817.8
ACC_000526,User_526,11482.98
ACC_000527,User_527,19486.36
ACC_000528,User_528,39566.17
ACC_000529,User_529,24214.2
ACC_000530,User_530,33927.68
ACC_000531,User_531,25819.31
ACC_000532,User_532,3071.23
ACC_000533,User_533,7857.92
ACC_000534,User_534,34312.26
ACC_000535,User_535,2324.33
ACC_000536,User_536,22564.43
ACC_000537,User_537,32001.87
ACC_000538,User_538,22301.7
ACC_000539,User_539,5056.22
ACC_000540,User_540,42319.37
ACC_000541,User_541,22176.57
ACC_000542,User_542,21356.18
ACC_000543,User_543,49254.14
ACC_000544,User_544,31227.02
ACC_000545,User_545,29845.31
ACC_000546,User_546,37563.05
ACC_000547,User_547,19608.87
ACC_000548,User_548,8411.8
ACC_000549,User_549,7567.58
ACC_000550,User_550,24398.56
ACC_000551,User_551,2141.01
ACC_000552,User_552,36049.3
ACC_000553,User_553,14067.67
ACC_000554,User_554,12519.71
ACC_000555,User_555,49427.37
ACC_000556,User_556,48934.57
ACC_000557,User_557,22644.72
ACC_000558,User_558,15622.52
ACC_000559,User_559,44603.41
ACC_000560,User_560,43449.8
ACC_000561,User_561,47655.65
ACC_000562,User_562,7118.3
ACC_000563,User_563,24090.61
ACC_000564,User_564,35233.99
ACC_000565,User_565,35889.42
ACC_000566,User_566,46496.89
ACC_000567,User_567,6985.82
ACC_000568,User_568,2814.37
ACC_000569,User_569,17826.67
ACC_000570,User_570,32075.91
ACC_000571,User_571,4909.94
ACC_000572,User_572,4401.14
ACC_000573,User_573,9123.03
ACC_000574,User_574,6059.23
ACC_000575,User_575,3142.91
ACC_000576,User_576,12046.87
ACC_000577,User_577,46173.18
ACC_000578,User_578,38445.91
ACC_000579,User_579,23499.06
ACC_000580,User_580,21694.55
ACC_000581,User_581,6245.99
ACC_000582,User_582,24813.28
ACC_000583,User_583,2562.31
ACC_000584,User_584,42464.54
ACC_000585,User_585,23117.68
ACC_000586,User_586,35473.73
ACC_000587,User_587,40605.39
ACC_000588,User_588,23008.87
ACC_000589,User_589,7058.37
ACC_000590,User_590,49823.51
ACC_000591,User_591,43627.33
ACC_000592,User_592,1256.35
ACC_000593,User_593,21618.22
ACC_000594,User_594,43750.18
ACC_000595,User_595,13480.79
ACC_000596,User_596,40446.79
ACC_000597,User_597,35533.05
ACC_000598,User_598,34125.04
ACC_000599,User_599,37772.23
ACC_000600,User_600,43796.8
ACC_000601,User_601,48753.67
ACC_000602,User_602,10170.58
ACC_000603,User_603,44664.27
ACC_000604,User_604,45098.58
ACC_000605,User_605,35939.44
ACC_000606,User_606,2318.55
ACC_000607,User_607,29463.95
ACC_000608,User_608,33860.78
ACC_000609,User_609,37671.42
ACC_000610,User_610,30530.88
ACC_000611,User_611,19828.99
ACC_000612,User_612,25445.16
ACC_000613,User_613,1747.06
ACC_000614,User_614,24445.36
ACC_000615,User_615,10221.4
ACC_000616,User_616,32055.57
ACC_000617,User_617,36557.39
ACC_000618,User_618,23621.71
ACC_000619,User_619,46233.77
ACC_000620,User_620,19495.76
ACC_000621,User_621,14176.36
ACC_000622,User_622,42908.87
ACC_000623,User_623,6193.96
ACC_000624,User_624,4440.84
ACC_000625,User_625,43129.94
ACC_000626,User_626,13688.18
ACC_000627,User_627,11783.68
ACC_000628,User_628,28742.41
ACC_000629,User_629,24442.55
ACC_000630,User_630,9093.53
ACC_000631,User_631,41432.27
ACC_000632,User_632,16573.79
ACC_000633,User_633,40769.56
ACC_000634,User_634,3433.12
ACC_000635,User_635,27228.21
ACC_000636,User_636,10135.12
ACC_000637,User_637,25815.6
ACC_000638,User_638,40163.54
ACC_000639,User_639,32358.39
ACC_000640,User_640,7348.71
ACC_000641,User_641,8861.32
ACC_000642,User_642,49758.51
ACC_000643,User_643,14916.98
ACC_000644,User_644,25404.8
ACC_000645,User_645,48216.2
ACC_000646,User_646,19018.44
ACC_000647,User_647,3502.94
ACC_000648,User_648,12097.7
ACC_000649,User_649,33018.7
ACC_000650,User_650,25634.0
ACC_000651,User_651,44678.26
ACC_000652,User_652,27203.11
ACC_000653,User_653,24418.84
ACC_000654,User_654,5585.81
ACC_000655,User_655,20598.13
ACC_000656,User_656,32793.37
ACC_000657,User_657,36754.77
ACC_000658,User_658,39952.25
ACC_000659,User_659,4800.27
ACC_000660,User_660,1052.1
ACC_000661,User_661,44932.08
ACC_000662,User_662,42542.58
ACC_000663,User_663,38886.64
ACC_000664,User_664,47951.5
ACC_000665,User_665,1521.3
ACC_000666,User_666,27758.55
ACC_000667,User_667,48822.47
ACC_000668,User_668,5104.02
ACC_000669,User_669,28482.36
ACC_000670,User_670,45843.25
ACC_000671,User_671,6479.21
ACC_000672,User_672,34963.01
ACC_000673,User_673,43650.02
ACC_000674,User_674,3114.02
ACC_000675,User_675,44473.24
ACC_000676,User_676,3883.58
ACC_000677,User_677,33387.9
ACC_000678,User_678,25561.42
ACC_000679,User_679,38622.92
ACC_000680,User_680,11707.43
ACC_000681,User_681,24205.43
ACC_000682,User_682,26595.31
ACC_000683,User_683,7545.5
ACC_000684,User_684,4566.8
ACC_000685,User_685,14187.14
ACC_000686,User_686,3554.37
ACC_000687,User_687,3074.83
ACC_000688,User_688,5020.49
ACC_000689,User_689,20673.65
ACC_000690,User_690,16026.41
ACC_000691,User_691,2591.12
ACC_000692,User_692,36105.5
ACC_000693,User_693,4096.46
ACC_000694,User_694,26373.98
ACC_000695,User_695,20761.38
ACC_000696,User_696,33382.96
ACC_000697,User_697,38193.22
ACC_000698,User_698,19103.07
ACC_000699,User_699,24040.49
ACC_000700,User_700,13838.31
ACC_000701,User_701,37503.52
ACC_000702,User_702,42518.66
ACC_000703,User_703,1860.92
ACC_000704,User_704,7103.9
ACC_000705,User_705,23501.81
ACC_000706,User_706,31606.76
ACC_000707,User_707,1146.0
ACC_000708,User_708,12474.29
ACC_000709,User_709,5036.86
ACC_000710,User_710,34164.16
ACC_000711,User_711,9541.21
ACC_000712,User_712,28409.22
ACC_000713,User_713,20296.93
ACC_000714,User_714,39081.34
ACC_000715,User_715,46815.2
ACC_000716,User_716,34286.39
ACC_000717,User_717,27562.31
ACC_000718,User_718,16474.11
ACC_000719,User_719,18166.31
ACC_000720,User_720,49619.73
ACC_000721,User_721,33561.71
ACC_000722,User_722,19708.36
ACC_000723,User_723,29603.2
ACC_000724,User_724,28818.81
ACC_000725,User_725,17257.2
ACC_000726,User_726,47768.41
ACC_000727,User_727,37468.92
ACC_000728,User_728,43906.95
ACC_000729,User_729,20873.34
ACC_000730,User_730,6117.89
ACC_000731,User_731,4383.42
ACC_000732,User_732,23050.69
ACC_000733,User_733,15692.65
ACC_000734,User_734,36942.85
ACC_000735,User_735,43357.48
ACC_000736,User_736,7669.14
ACC_000737,User_737,17271.14
ACC_000738,User_738,22916.15
ACC_000739,User_739,13987.55
ACC_000740,User_740,25081.53
ACC_000741,User_741,40927.05
ACC_000742,User_742,45160.76
ACC_000743,User_743,22969.34
ACC_000744,User_744,17067.7
ACC_000745,User_745,39628.82
ACC_000746,User_746,10480.68
ACC_000747,User_747,6245.81
ACC_000748,User_748,21354.4
ACC_000749,User_749,38472.59
ACC_000750,User_750,15514.08
ACC_000751,User_751,11339.74
ACC_000752,User_752,46880.34
ACC_000753,User_753,38834.53
ACC_000754,User_754,9749.07
ACC_000755,User_755,6166.55
ACC_000756,User_756,22197.99
ACC_000757,User_757,39141.08
ACC_000758,User_758,22298.85
ACC_000759,User_759,47152.81
ACC_000760,User_760,35945.77
ACC_000761,User_761,5052.82
ACC_000762,User_762,29142.46
ACC_000763,User_763,13159.12
ACC_000764,User_764,5535.18
ACC_000765,User_765,45941.2
ACC_000766,User_766,13156.6
ACC_000767,User_767,26834.09
ACC_000768,User_768,18442.86
ACC_000769,User_769,16938.05
ACC_000770,User_770,33795.85
ACC_000771,User_771,25376.81
ACC_000772,User_772,37736.22
ACC_000773,User_773,32313.59
ACC_000774,User_774,23769.39
ACC_000775,User_775,49922.15
ACC_000776,User_776,4392.07
ACC_000777,User_777,6750.0
ACC_000778,User_778,43709.13
ACC_000779,User_779,4595.53
ACC_000780,User_780,6839.4
ACC_000781,User_781,26162.46
ACC_000782,User_782,30373.4
ACC_000783,User_783,17806.08
ACC_000784,User_784,6071.56
ACC_000785,User_785,40330.17
ACC_000786,User_786,4957.42
ACC_000787,User_787,40422.16
ACC_000788,User_788,7156.34
ACC_000789,User_789,31907.73
ACC_000790,User_790,23642.3
ACC_000791,User_791,14189.22
ACC_000792,User_792,32266.14
ACC_000793,User_793,35526.58
ACC_000794,User_794,17681.51
ACC_000795,User_795,11130.35
ACC_000796,User_796,45049.44
ACC_000797,User_797,16187.53
ACC_000798,User_798,41075.93
ACC_000799,User_799,8197.94
ACC_000800,User_800,24771.96
ACC_000801,User_801,1233.85
ACC_000802,User_802,2416.13
ACC_000803,User_803,16667.05
ACC_000804,User_804,21316.04
ACC_000805,User_805,37219.71
ACC_000806,User_806,49296.04
ACC_000807,User_807,27179.65
ACC_000808,User_808,14111.91
ACC_000809,User_809,33502.03
ACC_000810,User_810,21670.99
ACC_000811,User_811,30942.12
ACC_000812,User_812,19803.95
ACC_000813,User_813,22015.18
ACC_000814,User_814,38138.57
ACC_000815,User_815,26413.36
ACC_000816,User_816,8219.56
ACC_000817,User_817,1988.62
ACC_000818,User_818,1301.82
ACC_000819,User_819,39386.47
ACC_000820,User_820,39122.07
ACC_000821,User_821,26677.52
ACC_000822,User_822,19992.85
ACC_000823,User_823,46352.73
ACC_000824,User_824,35546.99
ACC_000825,User_825,42567.22
ACC_000826,User_826,34961.24
ACC_000827,User_827,42044.89
ACC_000828,User_828,38410.41
ACC_000829,User_829,21278.39
ACC_000830,User_830,41867.12
ACC_000831,User_831,7157.48
ACC_000832,User_832,25652.82
ACC_000833,User_833,28186.71
ACC_000834,User_834,24089.64
ACC_000835,User_835,26049.51
ACC_000836,User_836,23026.65
ACC_000837,User_837,39180.99
ACC_000838,User_838,41075.34
ACC_000839,User_839,16611.39
ACC_000840,User_840,4778.88
ACC_000841,User_841,25273.39
ACC_000842,User_842,44012.35
ACC_000843,User_843,15815.57
ACC_000844,User_844,42087.5
ACC_000845,User_845,8895.75
ACC_000846,User_846,41822.23
ACC_000847,User_847,48797.34
ACC_000848,User_848,27958.56
ACC_000849,User_849,3394.68
ACC_000850,User_850,42308.86
ACC_000851,User_851,8618.33
ACC_000852,User_852,4323.59
ACC_000853,User_853,27320.73
ACC_000854,User_854,41539.79
ACC_000855,User_855,6117.74
ACC_000856,User_856,22889.92
ACC_000857,User_857,19788.27
ACC_000858,User_858,48906.33
ACC_000859,User_859,9203.51
ACC_000860,User_860,14446.57
ACC_000861,User_861,10924.22
ACC_000862,User_862,29871.73
ACC_000863,User_863,27398.31
ACC_000864,User_864,43398.18
ACC_000865,User_865,42783.34
ACC_000866,User_866,16125.26
ACC_000867,User_867,34776.42
ACC_000868,User_868,45373.65
ACC_000869,User_869,47182.09
ACC_000870,User_870,44101.34
ACC_000871,User_871,6904.3
ACC_000872,User_872,9684.9
